i,x,y
1,1.000000,35.000000
2,1.000000,2.000000
3,2.000000,12.000000
4,2.000000,65.000000
5,2.000000,54.000000
6,2.000000,17.000000
7,2.000000,15.000000
8,2.000000,35.000000
9,2.000000,35.000000
10,2.000000,7.000000
11,2.000000,80.000000
12,2.000000,35.000000
13,2.000000,54.000000
14,2.000000,54.000000
15,2.000000,4.000000
16,4.000000,62.000000
17,4.000000,88.000000
18,4.000000,73.000000
19,4.000000,15.000000
20,4.000000,35.000000
21,4.000000,73.000000
22,4.000000,15.000000
23,4.000000,15.000000
24,4.000000,15.000000
25,4.000000,35.000000
26,4.000000,35.000000
27,4.000000,12.000000
28,4.000000,7.000000
29,4.000000,54.000000
30,4.000000,65.000000
31,4.000000,91.000000
32,4.000000,35.000000
33,4.000000,51.000000
34,4.000000,35.000000
35,6.000000,65.000000
36,6.000000,35.000000
37,8.000000,65.000000
38,8.000000,45.000000
39,8.000000,35.000000
40,8.000000,45.000000
41,8.000000,47.000000
42,8.000000,45.000000
43,8.000000,85.000000
44,8.000000,65.000000
45,12.000000,80.000000
46,12.000000,140.000000
47,12.000000,130.000000
48,12.000000,45.000000
49,12.000000,25.000000
50,16.000000,125.000000
51,16.000000,65.000000
52,20.000000,95.000000
53,20.000000,70.000000
54,24.000000,115.000000
55,36.000000,200.000000
56,44.000000,380.000000
57,56.000000,205.000000
58,244.000000,300.000000
59,256.000000,230.000000
60,288.000000,320.000000
