X1,X2,X3,X4
54.26,18.65,97.56,30.28
102.65,58.86,86.42,136.71
68.64,10.73,99.67,136.84
113.41,32.64,85.31,37.90
70.29,17.58,93.25,127.72
49.17,15.56,86.73,136.88
79.35,65.23,93.14,132.15
51.33,18.41,80.64,30.27
39.36,11.37,98.43,57.28
28.88,21.89,100.28,123.19
62.87,81.32,93.90,47.82
111.80,32.31,91.96,119.77
110.09,13.55,89.04,41.65
113.05,9.52,94.12,139.93
74.37,10.40,90.96,47.87
65.15,15.79,83.05,131.82
91.14,18.79,94.25,38.98
62.49,101.39,91.99,37.70
34.11,19.72,98.71,48.96
110.51,13.11,95.65,50.15
46.84,106.01,94.34,122.72
96.70,26.33,85.92,45.01
98.71,55.02,90.20,50.20
31.64,51.71,98.57,115.06
38.96,96.91,91.67,55.14
31.59,39.99,105.32,43.87
112.69,72.56,104.18,49.95
69.85,20.53,108.93,40.88
61.63,33.83,85.46,134.36
93.93,30.52,94.98,46.36
28.83,39.58,79.80,38.65
54.29,39.61,93.28,45.31
99.63,29.58,93.33,130.70
57.14,13.28,86.68,60.26
77.33,17.55,105.36,137.29
45.82,35.78,95.50,127.74
84.76,25.37,101.30,46.25
110.06,19.56,91.14,127.32
57.01,10.38,92.99,135.28
97.10,13.75,101.43,136.76
107.66,13.52,95.95,55.89
74.56,48.76,89.38,127.59
64.35,48.64,102.29,135.87
28.73,25.63,86.85,44.58
41.47,32.20,101.73,139.24
29.20,9.90,87.57,125.89
75.21,20.57,88.63,59.66
35.30,38.05,103.80,48.43
61.94,24.63,103.16,44.44
59.31,9.81,99.86,53.78
52.27,14.12,99.56,51.12
109.76,48.84,89.92,149.19
87.00,26.75,94.50,34.81
70.23,14.59,98.53,35.02
42.91,55.63,98.25,57.37
44.68,61.97,93.35,56.94
77.37,48.50,94.02,50.71
104.27,24.74,93.64,55.46
108.68,34.71,90.27,126.17
71.31,33.40,102.87,41.79
56.69,22.46,112.45,44.15
73.44,55.04,99.72,40.89
107.17,33.56,93.14,47.23
70.05,14.95,92.49,47.48
101.06,62.44,99.90,46.67
80.19,23.01,94.82,125.85
107.68,39.92,76.75,57.57
74.49,40.22,102.89,137.13
34.05,53.59,99.40,122.68
33.89,76.91,100.29,39.97
73.24,15.51,97.51,118.53
106.54,9.72,81.43,121.38
48.76,21.19,89.78,113.30
105.58,68.02,87.29,34.46
35.17,90.19,88.19,37.47
114.34,16.34,97.50,62.42
73.80,33.35,81.17,120.84
73.29,29.55,101.96,39.77
80.32,16.67,98.78,50.22
48.01,11.38,92.90,121.19
48.73,11.46,88.29,41.60
33.23,42.57,90.31,131.51
91.44,21.87,96.78,51.95
42.92,60.99,92.00,47.35
56.01,36.44,83.84,125.30
48.52,10.71,111.99,59.79
32.58,10.00,89.25,42.40
87.14,13.10,99.41,33.49
97.64,11.60,98.36,127.06
66.68,88.49,93.33,50.45
107.92,19.68,99.25,44.98
102.49,11.85,86.30,122.67
93.33,42.17,93.35,47.27
75.45,17.97,88.30,116.54
65.43,19.68,110.75,51.23
46.48,29.03,93.52,129.59
53.41,21.41,94.57,44.77
93.09,14.44,92.14,56.61
98.60,57.64,103.65,45.64
83.28,47.92,86.11,64.25
109.67,9.62,100.63,39.38
42.70,11.45,86.78,48.61
37.39,106.32,104.16,44.58
28.11,21.15,91.95,128.84
98.25,60.65,91.96,50.62
100.22,12.71,91.25,34.22
83.88,19.41,96.24,117.33
101.09,60.51,93.66,142.16
110.47,59.55,81.63,44.71
52.59,14.67,86.53,54.49
90.01,58.36,83.81,126.29
65.64,17.95,83.41,125.32
74.37,37.36,90.93,117.27
60.67,55.77,92.09,48.36
60.20,35.04,84.94,44.88
75.92,13.18,89.30,57.20
95.89,19.32,104.31,120.05
53.29,27.49,94.38,50.87
37.78,10.99,105.77,53.07
37.43,11.29,88.72,128.85
33.38,52.81,88.43,36.35
38.38,34.28,91.71,128.22
80.64,23.92,93.77,49.68
79.62,56.30,96.88,123.43
48.95,19.62,76.30,98.41
30.53,39.62,87.99,123.51
43.52,19.95,92.64,36.27
100.52,20.14,93.87,31.89
61.65,27.54,87.11,138.71
63.09,65.78,86.10,125.91
93.93,21.33,99.16,124.77
78.02,16.11,93.30,129.36
63.09,47.95,78.76,135.03
79.77,73.35,93.05,53.58
108.08,44.90,97.73,51.71
80.46,10.62,90.38,115.96
63.31,11.27,102.31,124.00
106.13,89.61,79.06,43.53
48.31,32.53,88.93,55.16
34.80,16.36,101.91,125.24
88.81,43.96,98.88,58.08
66.58,9.89,96.08,42.55
94.34,27.59,96.15,104.44
28.78,9.20,87.77,136.00
50.12,49.17,91.04,132.66
108.83,17.14,91.07,43.02
50.07,23.63,73.64,139.42
61.00,10.56,99.52,127.13
76.18,15.56,93.58,35.44
113.28,35.35,79.58,120.94
81.56,56.43,97.65,117.08
74.21,22.88,86.27,132.45
36.49,11.52,85.69,46.81
75.97,13.00,100.37,37.85
94.91,24.75,97.96,120.81
36.85,16.01,99.48,38.73
99.25,49.42,91.19,138.29
75.18,36.43,79.84,131.09
65.94,61.98,87.83,55.77
89.73,17.06,89.71,54.24
59.62,28.12,102.72,40.47
99.47,16.84,86.93,44.45
112.33,13.43,111.76,53.48
73.50,30.85,99.89,120.85
39.03,21.80,102.55,64.17
47.18,9.29,103.40,62.17
104.08,36.12,81.27,54.50
92.34,84.18,94.72,121.59
42.73,27.15,86.43,134.35
66.35,15.86,83.70,125.66
83.93,34.69,90.81,145.42
110.34,60.09,93.73,56.76
83.45,20.45,95.22,57.53
38.50,46.21,94.10,114.57
