X1;X2;X3;X4
13.09;12.90;13.53;2.15
10.48;13.48;12.12;2.71
15.65;9.91;12.86;8.42
15.27;13.96;17.50;2.43
13.27;14.35;16.72;10.28
15.66;12.61;12.90;2.77
12.29;13.50;22.13;2.68
13.93;11.91;12.61;2.85
14.90;10.33;9.95;5.88
13.72;13.13;12.72;6.09
16.36;10.71;10.80;1.44
13.46;9.74;11.06;8.74
12.01;10.16;13.49;4.85
12.89;12.47;14.78;1.29
13.28;14.32;15.64;2.65
11.64;12.18;9.46;1.95
12.12;9.30;7.42;8.79
12.57;12.30;14.72;5.92
15.13;9.24;16.98;3.35
12.33;13.97;13.78;1.54
12.35;9.24;18.26;3.64
12.30;9.72;12.14;2.73
8.79;12.56;12.63;4.04
12.63;12.86;12.38;2.95
9.26;11.63;17.67;3.08
13.29;13.77;7.89;4.31
10.88;12.91;9.21;3.18
15.27;11.68;14.69;2.28
12.56;11.58;22.49;1.88
9.87;11.76;8.58;2.69
11.99;14.17;13.94;5.34
8.63;12.82;10.58;8.74
12.56;12.76;20.09;3.09
11.46;13.25;15.51;1.03
10.03;11.34;10.91;0.85
13.47;13.46;9.81;5.76
12.33;10.44;8.66;1.53
12.44;13.58;13.56;2.23
9.05;10.94;15.23;3.52
10.72;14.86;14.59;4.50
10.59;16.48;10.14;3.87
11.90;12.93;10.78;2.77
16.47;12.24;11.84;4.23
7.06;13.52;10.35;5.16
12.71;12.05;5.87;7.34
9.29;13.02;17.26;6.14
12.05;12.01;12.91;9.17
12.78;12.60;18.96;1.26
11.10;8.49;8.86;3.80
11.69;13.25;5.59;6.84
12.09;12.21;16.63;2.33
9.30;13.17;15.54;1.38
13.02;11.49;14.68;1.68
13.80;13.68;12.95;1.50
11.96;11.37;11.89;2.86
10.83;10.38;13.24;1.10
11.24;11.97;13.25;4.73
10.34;15.25;11.00;8.48
11.66;13.34;19.29;5.97
11.38;10.56;14.67;0.93
10.00;12.47;17.35;1.52
12.34;12.60;8.98;3.75
12.39;15.83;16.23;4.87
11.95;10.26;11.82;4.70
14.42;15.87;14.66;4.06
12.13;15.39;13.08;2.46
10.68;12.08;9.29;0.81
9.86;10.91;11.66;4.52
14.27;12.73;21.38;2.94
13.64;12.96;17.18;6.22
7.03;15.18;10.00;8.66
12.91;11.84;10.93;6.44
14.47;13.93;9.99;3.76
6.84;9.82;11.60;2.49
14.56;13.18;14.24;4.50
11.38;12.47;11.01;3.50
16.16;12.80;12.49;1.23
13.37;11.89;13.80;4.96
15.85;12.48;15.18;3.92
12.50;12.75;11.52;1.82
12.92;16.09;20.81;4.84
12.48;10.84;16.20;2.65
14.42;12.52;15.59;2.55
14.36;9.94;7.07;7.88
14.74;11.54;9.74;1.49
11.44;14.22;17.52;5.89
11.57;9.05;21.32;3.38
11.07;11.25;11.74;2.93
9.91;12.60;13.78;8.56
11.72;12.28;13.75;12.18
13.45;10.06;15.00;0.92
14.06;15.69;16.64;8.13
12.21;11.82;15.70;2.93
14.11;12.00;14.62;3.70
13.62;15.29;13.56;2.78
8.53;11.18;11.48;9.39
9.55;9.63;14.43;1.58
11.29;8.00;15.41;2.76
9.26;11.24;12.78;1.81
14.49;12.37;23.35;1.60
11.22;14.81;13.33;1.62
11.89;11.24;11.49;5.36
10.03;9.29;10.31;8.24
16.25;14.96;13.28;10.35
13.73;12.69;12.12;3.58
11.21;9.03;9.31;4.25
11.17;11.97;16.55;5.82
12.43;15.24;11.60;1.32
11.69;13.45;12.86;2.13
14.48;12.25;17.41;2.10
